Date,Close
8/28/18,274.38
8/29/18,278.49
8/30/18,277.81
8/31/18,280.68
9/4/18,283.7
9/5/18,278.42
9/6/18,272.72
9/7/18,271.86
9/10/18,274.73
9/11/18,272.8
9/12/18,268.2
9/13/18,271.34
9/14/18,276.43
9/17/18,273.93
9/18/18,271.02
9/19/18,271.98
9/20/18,266.28
9/21/18,263.45
9/24/18,265.7
9/25/18,268.41
9/26/18,266.92
9/27/18,267.4
9/28/18,281.02
10/1/18,289.36
10/2/18,286.48
10/3/18,286.73
10/4/18,279.29
10/5/18,269.86
10/8/18,265.77
10/9/18,265.54
10/10/18,245.69
10/11/18,235.13
10/12/18,246.54
10/15/18,235.38
10/16/18,245.83
10/17/18,243.06
10/18/18,239.53
10/19/18,229.17
10/22/18,231.22
10/23/18,221.06
10/24/18,199.41
10/25/18,207.84
10/26/18,198.29
10/29/18,185.62
10/30/18,203
10/31/18,210.83
11/1/18,218.11
11/2/18,214.92
11/5/18,211.77
11/6/18,211.06
11/7/18,213.79
11/8/18,205.99
11/9/18,205.67
11/12/18,189.54
11/13/18,199.31
11/14/18,197.19
11/15/18,202.39
11/16/18,164.43
11/19/18,144.7
11/20/18,149.08
11/21/18,144.71
11/23/18,145
11/26/18,153.05
11/27/18,153.73
11/28/18,160.07
11/29/18,157.36
11/30/18,163.43
12/3/18,170.04
12/4/18,157.11
12/6/18,158.29
12/7/18,147.61
12/10/18,151.86
12/11/18,148.19
12/12/18,148.9
12/13/18,148.89
12/14/18,146.45
12/17/18,143.58
12/18/18,146.94
12/19/18,138.51
12/20/18,135.1
12/21/18,129.57
12/24/18,127.08
12/26/18,133.1
12/27/18,131.17
12/28/18,133.65
12/31/18,133.5
1/2/19,136.22
1/3/19,127.99
1/4/19,136.19
1/7/19,143.4
1/8/19,139.83
1/9/19,142.58
1/10/19,145.23
1/11/19,148.83
1/14/19,150.44
1/15/19,149.87
1/16/19,148.84
1/17/19,151.72
1/18/19,156.93
1/22/19,148.77
1/23/19,149.29
1/24/19,157.84
1/25/19,160.15
1/28/19,138.01
1/29/19,131.6
1/30/19,137.39
1/31/19,143.75
2/1/19,144.73
2/4/19,149.18
2/5/19,149.95
2/6/19,153
2/7/19,147.42
2/8/19,148.17
2/11/19,146.45
2/12/19,151.17
2/13/19,152.88
2/14/19,154.53
2/15/19,157.34
2/19/19,156.64
2/20/19,158.55
2/21/19,155.77
2/22/19,159.19
2/25/19,158.69
2/26/19,157.1
2/27/19,155.41
2/28/19,154.26
3/1/19,156.45
3/4/19,156.78
3/5/19,156.52
3/6/19,152.05
3/7/19,149.26
3/8/19,150.64
3/11/19,161.14
3/12/19,162.52
3/13/19,168.62
3/14/19,165.56
3/15/19,169.81
3/18/19,168.95
3/19/19,175.71
3/20/19,174.4
3/21/19,183.94
3/22/19,177.5
3/25/19,173.78
3/26/19,176.87
3/27/19,176.5
3/28/19,177.25
3/29/19,179.56
4/1/19,182.28
4/2/19,183
4/3/19,188.62
4/4/19,188.26
4/5/19,190.95
4/8/19,191.79
4/9/19,189.26
4/10/19,192.1
4/11/19,191.54
4/12/19,190.01
4/15/19,184.7
4/16/19,188.21
4/17/19,187.29
4/18/19,186.3
4/22/19,188.47
4/23/19,190.67
4/24/19,191.17
4/25/19,186.91
4/26/19,178.09
4/29/19,179.33
4/30/19,181
5/1/19,180.47
5/2/19,183.19
5/3/19,183.01
5/6/19,179.85
5/7/19,173.11
5/8/19,173.92
5/9/19,170.19
5/10/19,168.82
5/13/19,158.45
5/14/19,162.04
5/15/19,159.58
5/16/19,160.19
5/17/19,156.53
5/20/19,151.75
5/21/19,155.06
5/22/19,152.2
5/23/19,147.32
5/24/19,145.15
5/28/19,143.33
5/29/19,140.34
5/30/19,139.11
5/31/19,135.46
6/3/19,133.78
6/4/19,143
6/5/19,141.28
6/6/19,143.78
6/7/19,145.5
6/10/19,148.43
6/11/19,150.75
6/12/19,146.2
6/13/19,148.26
6/14/19,144.64
6/17/19,145.03
6/18/19,152.88
6/19/19,153.12
